system:index,date,lado,ndvi,.geo
2_28,2019-05,Oeste,0.7259897012068384,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_29,2019-06,Oeste,0.6956455682534938,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_30,2019-07,Oeste,0.6954195834651372,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_31,2019-08,Oeste,0.6512106051892383,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_32,2019-09,Oeste,0.6482563026648812,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_33,2019-10,Oeste,0.5119468517595052,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_34,2019-11,Oeste,0.5919079680962206,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_35,2019-12,Oeste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_36,2020-01,Oeste,0.5570965688994556,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_37,2020-02,Oeste,0.6748504845041519,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_38,2020-03,Oeste,0.6835707911834633,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_39,2020-04,Oeste,0.7038571393407197,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_40,2020-05,Oeste,0.7124012970413353,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_41,2020-06,Oeste,0.7407885193889576,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_42,2020-07,Oeste,0.7400824576884433,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_43,2020-08,Oeste,0.6567959557887358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_44,2020-09,Oeste,0.5909777142724031,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_45,2020-10,Oeste,0.5888719553597094,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_46,2020-11,Oeste,0.62415224333997,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_47,2020-12,Oeste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_48,2021-01,Oeste,0.5731976518747798,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_49,2021-02,Oeste,0.6361567819869154,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_50,2021-03,Oeste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_51,2021-04,Oeste,0.6922523384537311,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_52,2021-05,Oeste,0.6381223101235904,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_53,2021-06,Oeste,0.6687312015520748,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_54,2021-07,Oeste,0.7079416450970992,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_55,2021-08,Oeste,0.6179746390094871,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_56,2021-09,Oeste,0.6414117012208506,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_57,2021-10,Oeste,0.6595955976370709,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_58,2021-11,Oeste,0.6609939658733981,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_59,2021-12,Oeste,0.6020152106472925,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_60,2022-01,Oeste,0.5848819724860171,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_61,2022-02,Oeste,0.44331016784591004,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_62,2022-03,Oeste,0.44043234432051476,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_63,2022-04,Oeste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_64,2022-05,Oeste,0.304488343524363,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_65,2022-06,Oeste,0.4326299116958917,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_66,2022-07,Oeste,0.48091876319033006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_67,2022-08,Oeste,0.4637619958741185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_68,2022-09,Oeste,0.4546047943511923,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_69,2022-10,Oeste,0.4158432559759088,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_70,2022-11,Oeste,0.4012408004140514,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_71,2022-12,Oeste,0.3695286047952707,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_72,2023-01,Oeste,0.3742107423266646,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_73,2023-02,Oeste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_74,2023-03,Oeste,0.4460852209190577,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_75,2023-04,Oeste,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_76,2023-05,Oeste,0.4805575700501983,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_77,2023-06,Oeste,0.4808732273820584,"{""type"":""MultiPoint"",""coordinates"":[]}"
